time_id,deprivation_level,lsoa_code,crime_count
2015-03-01,High,E01033583,274
2015-03-01,High,E01033591,19
2015-03-01,High,E01033594,119
2015-03-01,High,E01033599,1
2015-03-01,High,E01033601,8
2015-03-01,High,E01033604,30
2015-03-01,High,E01033700,46
2015-03-01,High,E01033705,11
2015-03-01,High,E01033706,93
2015-03-01,High,E01033707,42
2015-03-01,High,E01033712,37
2015-03-01,High,E01033726,29
2015-03-01,High,E01033735,56
2015-03-01,High,E01033744,3
2015-03-01,Low,E01000003,5
2015-03-01,Low,E01000006,9
2015-03-01,Low,E01000036,12
2015-03-01,Low,E01000037,3
2015-03-01,Low,E01000038,15
2015-03-01,Low,E01000069,6
2015-03-01,Low,E01000071,18
2015-03-01,Low,E01000110,5
2015-03-01,Low,E01000140,14
2015-03-01,Low,E01000142,13
2015-03-01,Low,E01000144,21
2015-03-01,Low,E01000145,8
2015-03-01,Low,E01000146,54
2015-03-01,Low,E01000150,15
2015-03-01,Low,E01000155,22
2015-03-01,Low,E01000158,14
2015-03-01,Low,E01000159,9
2015-03-01,Low,E01000161,16
2015-03-01,Low,E01000162,13
2015-03-01,Low,E01000166,3
2015-03-01,Low,E01000170,12
2015-03-01,Low,E01000174,12
2015-03-01,Low,E01000180,11
2015-03-01,Low,E01000192,24
2015-03-01,Low,E01000193,40
2015-03-01,Low,E01000194,15
2015-03-01,Low,E01000203,10
2015-03-01,Low,E01000211,23
2015-03-01,Low,E01000218,11
2015-03-01,Low,E01000219,29
2015-03-01,Low,E01000220,14
2015-03-01,Low,E01000224,6
2015-03-01,Low,E01000231,14
2015-03-01,Low,E01000232,9
2015-03-01,Low,E01000238,7
2015-03-01,Low,E01000240,8
2015-03-01,Low,E01000242,13
2015-03-01,Low,E01000244,13
2015-03-01,Low,E01000251,19
2015-03-01,Low,E01000255,14
2015-03-01,Low,E01000260,21
2015-03-01,Low,E01000264,17
2015-03-01,Low,E01000265,16
2015-03-01,Low,E01000268,7
2015-03-01,Low,E01000274,11
2015-03-01,Low,E01000277,7
2015-03-01,Low,E01000284,15
2015-03-01,Low,E01000285,9
2015-03-01,Low,E01000290,13
2015-03-01,Low,E01000299,36
2015-03-01,Low,E01000302,4
2015-03-01,Low,E01000310,20
2015-03-01,Low,E01000313,21
2015-03-01,Low,E01000316,29
2015-03-01,Low,E01000318,18
2015-03-01,Low,E01000321,5
2015-03-01,Low,E01000322,7
2015-03-01,Low,E01000323,13
2015-03-01,Low,E01000329,17
2015-03-01,Low,E01000330,20
2015-03-01,Low,E01000332,12
2015-03-01,Low,E01000337,9
2015-03-01,Low,E01000338,5
2015-03-01,Low,E01000339,1
2015-03-01,Low,E01000352,7
2015-03-01,Low,E01000360,46
2015-03-01,Low,E01000365,12
2015-03-01,Low,E01000369,6
2015-03-01,Low,E01000375,8
2015-03-01,Low,E01000376,4
2015-03-01,Low,E01000379,6
2015-03-01,Low,E01000398,4
2015-03-01,Low,E01000400,10
2015-03-01,Low,E01000407,9
2015-03-01,Low,E01000417,4
2015-03-01,Low,E01000418,11
2015-03-01,Low,E01000430,14
2015-03-01,Low,E01000443,6
2015-03-01,Low,E01000450,4
2015-03-01,Low,E01000454,6
2015-03-01,Low,E01000459,6
2015-03-01,Low,E01000462,8
2015-03-01,Low,E01000467,5
