time_id,lsoa_code,deprivation_level,crime_count
2015-03-01,E01000639,Medium,2
2015-03-01,E01000640,Medium,9
2015-03-01,E01000641,High,1
2015-03-01,E01000642,High,10
2015-03-01,E01000643,Very High,12
2015-03-01,E01000644,Medium,3
2015-03-01,E01000645,Very Low,1
2015-03-01,E01000646,Very Low,6
2015-03-01,E01000649,Very Low,1
2015-03-01,E01000650,Very Low,1
2015-03-01,E01000653,Very Low,1
2015-03-01,E01000654,Very Low,2
2015-03-01,E01000655,Very Low,2
2015-03-01,E01000656,Very Low,2
2015-03-01,E01000657,Very Low,1
2015-03-01,E01000658,Very Low,1
2015-03-01,E01000661,Very High,13
2015-03-01,E01000662,Low,1
2015-03-01,E01000663,Low,1
2015-03-01,E01000664,Low,3
2015-03-01,E01000665,Very Low,4
2015-03-01,E01000666,Very Low,3
2015-03-01,E01000667,Very Low,1
2015-03-01,E01000668,Very Low,2
2015-03-01,E01000669,Very Low,4
2015-03-01,E01000670,Very Low,1
2015-03-01,E01000671,Very Low,3
2015-03-01,E01000672,Very Low,1
2015-03-01,E01000673,Very Low,2
2015-03-01,E01000674,Very Low,3
2015-03-01,E01000675,Very Low,14
2015-03-01,E01000676,Low,11
2015-03-01,E01000677,Very Low,7
2015-03-01,E01000678,Very Low,1
2015-03-01,E01000679,Very Low,1
2015-03-01,E01000680,Very Low,2
2015-03-01,E01000681,Very Low,1
2015-03-01,E01000682,Very Low,1
2015-03-01,E01000683,Very Low,1
2015-03-01,E01000685,Very Low,2
2015-03-01,E01000686,Very Low,1
2015-03-01,E01000688,Very Low,1
2015-03-01,E01000691,Very Low,2
2015-03-01,E01000692,Very Low,3
2015-03-01,E01000693,Very Low,3
2015-03-01,E01000694,Very Low,2
2015-03-01,E01000696,Very Low,2
2015-03-01,E01000697,Very Low,1
2015-03-01,E01000698,Very Low,1
2015-03-01,E01000699,Low,4
2015-03-01,E01000700,Very Low,1
2015-03-01,E01000702,Very Low,1
2015-03-01,E01000703,Very Low,2
2015-03-01,E01000704,Very Low,1
2015-03-01,E01000705,Low,1
2015-03-01,E01000707,Very Low,1
2015-03-01,E01000708,Very Low,1
2015-03-01,E01000709,Low,1
2015-03-01,E01000710,Very Low,1
2015-03-01,E01000711,Very Low,2
2015-03-01,E01000712,Very Low,5
2015-03-01,E01000713,Very Low,2
2015-03-01,E01000714,Very Low,7
2015-03-01,E01000715,Very Low,2
2015-03-01,E01000716,Very Low,2
2015-03-01,E01000717,Very Low,1
2015-03-01,E01000718,High,7
2015-03-01,E01000719,Medium,9
2015-03-01,E01000720,Very High,2
2015-03-01,E01000721,Very High,8
2015-03-01,E01000722,Medium,3
2015-03-01,E01000724,Very High,3
2015-03-01,E01000725,High,2
2015-03-01,E01000727,Low,6
2015-03-01,E01000728,Medium,6
2015-03-01,E01000729,Very High,3
2015-03-01,E01000730,Very High,4
2015-03-01,E01000731,High,6
2015-03-01,E01000732,Low,2
2015-03-01,E01000733,Low,1
2015-03-01,E01000735,High,4
2015-03-01,E01000736,Medium,4
